"p1";"Var.2";"РќР°Р·РІР°РЅРёРµ С„РѕРЅРґР°";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73"
"/funds/2633/";"";"Мобильный капитал";"Инвест-Урал";"";"открытый";"15.03.2021";"12.04.2012";"сформирован";"рыночных финансовых инструментов";"денежный";"";"15.03.2021";"15.91";"1";"10 000";"12.04.2012";"Без рейтинга*";"открытый";"денежный";"сформирован";"рыночных финансовых инструментов";"";"";"0.65% от СЧА";"4.65% от СЧА";"0.03%";"1.59%";"1.57%";"2.21%";"13.71%";"24.18%";"< 0.01";"< 0.01";"< 0.01";"< 0.01";"0.47";"0.47";"26.02.2021";"-0.066";"-0.185";"0.60%";"-4.394";"0.015";"1.32";"-0.62%";"0.03%";"1.59%";"1.57%";"2.21%";"13.71%";"24.18%";"0.03";"1.59";"1.57";"2.21";"13.71";"24.18";"26.02.2021";"-0.066";"-0.185";"0.60%";"-4.394";"0.015";"1.32%";"-0.62%";"15.91";"2.21%";"< 0.01";"10 000";"Без рейтинга*";"12.04.2012";"1";"";"0.65% от СЧА";"4.65% от СЧА"
"/funds/6443/";"";"Мой капитал Акции";"Альфа-Капитал";"";"открытый";"15.03.2021";"04.12.2020";"сформирован";"рыночных финансовых инструментов";"акции";"";"15.03.2021";"45.18";"0";"100 000 000";"04.12.2020";"Без рейтинга*";"открытый";"акции";"сформирован";"рыночных финансовых инструментов";"";"";"3.50% от СЧА";"4.30% от СЧА";"3.15%";"10.65%";"9.81%";"";"";"";"4.96";"16.30";"4.59";"< 0.01";"< 0.01";"< 0.01";"";"";"";"";"";"";"";"";"3.15%";"10.65%";"9.81%";"";"";"";"3.15";"10.65";"9.81";"";"";"";"";"";"";"";"";"";"";"";"45.18";"";"< 0.01";"100 000 000";"Без рейтинга*";"04.12.2020";"";"";"3.50% от СЧА";"4.30% от СЧА"
"/funds/6441/";"";"Мой капитал Облигации";"Альфа-Капитал";"";"открытый";"15.03.2021";"13.11.2020";"сформирован";"рыночных финансовых инструментов";"облигации";"";"15.03.2021";"129.84";"0";"100 000 000";"13.11.2020";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"облигации";"сформирован";"рыночных финансовых инструментов";"";"";"1.50% от СЧА";"2.40% от СЧА";"-0.56%";"-0.59%";"-0.87%";"";"";"";"12.04";"71.16";"40.09";"< 0.01";"< 0.01";"< 0.01";"";"";"";"";"";"";"";"";"-0.56%";"-0.59%";"-0.87%";"";"";"";"-0.56";"-0.59";"-0.87";"";"";"";"";"";"";"";"";"";"";"";"129.84";"";"< 0.01";"100 000 000";"—
                                                                            (Работает менее трех лет)";"13.11.2020";"";"";"1.50% от СЧА";"2.40% от СЧА"
"/funds/61/";"";"Мономах - Перспектива";"Мономах";"";"открытый";"15.03.2021";"29.12.1999";"сформирован";"рыночных финансовых инструментов";"акции";"";"15.03.2021";"6.13";"107";"10 000";"29.12.1999";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"акции";"сформирован";"рыночных финансовых инструментов";"";"";"9.00% от СЧА";"10.10% от СЧА";"-0.89%";"4.99%";"4.85%";"45.08%";"53.12%";"103.17%";"-0.09";"-0.18";"-0.18";"-0.18";"17.36";"-22.54";"26.02.2021";"0.124";"0.111";"5.06%";"-0.361";"0.901";"68.38";"-7.16%";"-0.89%";"4.99%";"4.85%";"45.08%";"53.12%";"103.17%";"-0.89";"4.99";"4.85";"45.08";"53.12";"103.17";"26.02.2021";"0.124";"0.111";"5.06%";"-0.361";"0.901";"68.38%";"-7.16%";"6.13";"45.08%";"-0.18";"10 000";"—
                                                                            (СЧА";"29.12.1999";"107";"";"9.00% от СЧА";"10.10% от СЧА"
"/funds/214/";"";"Накопительный Резерв";"ВТБ Капитал Пенсионный резерв";"";"открытый";"15.03.2021";"29.07.2004";"сформирован";"рыночных финансовых инструментов";"смешанный";"";"15.03.2021";"35.80";"73";"50 000";"29.07.2004";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"смешанный";"сформирован";"рыночных финансовых инструментов";"";"";"3.20% от СЧА";"5.70% от СЧА";"0.30%";"2.63%";"2.03%";"15.15%";"21.62%";"35.94%";"< 0.01";"0.75";"0.75";"-1.06";"27.06";"-41.34";"26.02.2021";"0.068";"0.064";"1.60%";"-3.229";"0.290";"70.59";"-2.11%";"0.30%";"2.63%";"2.03%";"15.15%";"21.62%";"35.94%";"0.30";"2.63";"2.03";"15.15";"21.62";"35.94";"26.02.2021";"0.068";"0.064";"1.60%";"-3.229";"0.290";"70.59%";"-2.11%";"35.80";"15.15%";"-1.06";"50 000";"<U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>";"29.07.2004";"73";"";"3.20% от СЧА";"5.70% от СЧА"
"/funds/205/";"";"ОЛМА - ФОНД  ОТРАСЛЕВОГО РОСТА";"ОЛМА-ФИНАНС";"";"открытый";"15.03.2021";"09.04.2004";"сформирован";"рыночных финансовых инструментов";"смешанный";"";"15.03.2021";"52.22";"42";"10 000";"09.04.2004";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"смешанный";"сформирован";"рыночных финансовых инструментов";"";"Волков Александр";"3.00% от СЧА";"7.30% от СЧА";"2.98%";"8.99%";"8.33%";"36.83%";"43.09%";"86.21%";"< 0.01";"< 0.01";"< 0.01";"-0.09";"21.95";"21.49";"26.02.2021";"0.113";"0.104";"3.63%";"-1.194";"0.750";"91.70";"-5.10%";"2.98%";"8.99%";"8.33%";"36.83%";"43.09%";"86.21%";"2.98";"8.99";"8.33";"36.83";"43.09";"86.21";"26.02.2021";"0.113";"0.104";"3.63%";"-1.194";"0.750";"91.70%";"-5.10%";"52.22";"36.83%";"-0.09";"10 000";"—
                                                                            (СЧА";"09.04.2004";"42";"Волков Александр";"3.00% от СЧА";"7.30% от СЧА"
"/funds/4881/";"";"Облигационный резерв
                                                        
                                                            можно купить online";"Инвест Менеджмент Центр";"";"открытый";"15.03.2021";"14.12.2017";"сформирован";"рыночных финансовых инструментов";"облигации";"";"15.03.2021";"10.02";"4";"10 000";"14.12.2017";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"облигации";"сформирован";"рыночных финансовых инструментов";"";"";"4.00% от СЧА";"12.00% от СЧА";"0.26%";"1.61%";"1.35%";"0.67%";"9.56%";"";"< 0.01";"0.14";"< 0.01";"-5.68";"-17.90";"< 0.01";"26.02.2021";"-0.068";"-0.087";"2.28%";"-4.306";"0.064";"1.72";"-3.48%";"0.26%";"1.61%";"1.35%";"0.67%";"9.56%";"";"0.26";"1.61";"1.35";"0.67";"9.56";"";"26.02.2021";"-0.068";"-0.087";"2.28%";"-4.306";"0.064";"1.72%";"-3.48%";"10.02";"0.67%";"-5.68";"10 000";"—
                                                                            (Работает менее трех лет)";"14.12.2017";"4";"";"4.00% от СЧА";"12.00% от СЧА"
"/funds/475/";"";"Осознанный";"КСП Капитал Управление Активами";"";"открытый";"15.03.2021";"14.12.2005";"сформирован";"рыночных финансовых инструментов";"акции";"";"15.03.2021";"6.86";"162";"1 000";"14.12.2005";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"акции";"сформирован";"рыночных финансовых инструментов";"";"Клочков Василий Геннадиевич";"3.54% от СЧА";"11.49% от СЧА";"-1.01%";"2.45%";"2.91%";"25.95%";"12.92%";"30.18%";"< 0.01";"-0.09";"-0.03";"-0.13";"-24.34";"-24.08";"26.02.2021";"-0.020";"-0.018";"4.19%";"-1.811";"0.710";"61.75";"-6.49%";"-1.01%";"2.45%";"2.91%";"25.95%";"12.92%";"30.18%";"-1.01";"2.45";"2.91";"25.95";"12.92";"30.18";"26.02.2021";"-0.020";"-0.018";"4.19%";"-1.811";"0.710";"61.75%";"-6.49%";"6.86";"25.95%";"-0.13";"1 000";"—
                                                                            (СЧА";"14.12.2005";"162";"Клочков Василий Геннадиевич";"3.54% от СЧА";"11.49% от СЧА"
"/funds/186/";"";"Открытие - Акции";"ОТКРЫТИЕ";"";"открытый";"15.03.2021";"16.01.2004";"сформирован";"рыночных финансовых инструментов";"акции";"";"15.03.2021";"4 064.89";"2 094";"1 000";"16.01.2004";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"акции";"сформирован";"рыночных финансовых инструментов";"";"Исаков Виталий Анатольевич";"3.90% от СЧА";"4.60% от СЧА";"3.27%";"10.84%";"9.70%";"63.02%";"67.51%";"167.21%";"1 028.66";"1 344.83";"1 240.72";"2 002.73";"2 936.36";"3 041.83";"26.02.2021";"0.176";"0.169";"4.81%";"0.155";"0.986";"90.56";"-6.55%";"3.27%";"10.84%";"9.70%";"63.02%";"67.51%";"167.21%";"3.27";"10.84";"9.70";"63.02";"67.51";"167.21";"26.02.2021";"0.176";"0.169";"4.81%";"0.155";"0.986";"90.56%";"-6.55%";"4 064.89";"63.02%";"2 002.73";"1 000";"<U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>
                                                                                                                                <U+2605>";"16.01.2004";"2 094";"Исаков Виталий Анатольевич";"3.90% от СЧА";"4.60% от СЧА"
"/funds/4091/";"";"Открытие - Глобальные инвестиции";"ОТКРЫТИЕ";"";"открытый";"15.03.2021";"27.11.2015";"сформирован";"рыночных финансовых инструментов";"смешанный";"Иностранные активы";"15.03.2021";"1 768.57";"688";"1 000";"27.11.2015";"<U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>
                                                                                                                                                        <U+2605>";"открытый";"смешанный";"сформирован";"рыночных финансовых инструментов";"Иностранные активы";"Исаков Виталий Анатольевич";"2.20% от СЧА";"4.20% от СЧА";"2.67%";"16.51%";"13.78%";"76.55%";"111.69%";"122.55%";"425.29";"861.16";"773.49";"1 379.09";"1 441.61";"1 375.50";"26.02.2021";"0.435";"0.464";"3.74%";"-1.777";"0.257";"10.18";"-4.06%";"2.67%";"16.51%";"13.78%";"76.55%";"111.69%";"122.55%";"2.67";"16.51";"13.78";"76.55";"111.69";"122.55";"26.02.2021";"0.435";"0.464";"3.74%";"-1.777";"0.257";"10.18%";"-4.06%";"1 768.57";"76.55%";"1 379.09";"1 000";"—
                                                                            (Рос. активы";"27.11.2015";"688";"Исаков Виталий Анатольевич";"2.20% от СЧА";"4.20% от СЧА"
